"INCOGNITO Lounge Bar","Тольятти","Ленина бульвар, 23","7-927-792-11-48","https://vk.com/incognito_tlt","https://instagram.com/incognito_tlt23","lon: 49.422088 lat: 53.502116"
"Justspace","Тольятти","Приморский бульвар, 2Б","7 (8482) 71-79-63","https://vk.com/justspace_lounge","https://instagram.com/just.space.tlt","lon: 49.295623 lat: 53.505518"
"TUMAN","Тольятти","Татищева бульвар, 25а","7-927-899-88-92","https://vk.com/tuman163","https://instagram.com/tumantlt","lon: 49.33261 lat: 53.54586"
"PAR LOFT HOOKAH","Тольятти","Цветной бульвар, 29а","7 (8482) 62-67-60","https://vk.com/partlt","","lon: 49.336024 lat: 53.535336"
"Туман","Сызрань","Советская, 82д","7-927-732-82-82","https://vk.com/hookahclubtuman","","lon: 48.47109 lat: 53.15412"
"Black & white","Сызрань","Интернациональная, 80","7-937-987-82-85","","","lon: 48.445471 lat: 53.156911"
"Nirvana Lounge","Тольятти","Ленинградская, 47","7 (8482) 61-52-20","https://vk.com/nirvanaloungetlt","https://instagram.com/nirvanalounge","lon: 49.414507 lat: 53.505453"
"HookahPlace","Тольятти","Карла Маркса, 84","7-937-214-40-00","https://vk.com/hookahplacetogliatti","","lon: 49.416557 lat: 53.506915"
"Umbra","Тольятти","Маршала Жукова, 1Б","7-927-891-14-37","","","lon: 49.309881 lat: 53.516102"
"Mansfield","Тольятти","Коммунистическая, 32а","7 (8482) 39-40-23","","https://instagram.com/mansfieldpub","lon: 49.470543 lat: 53.472806"
"SHISHA LOUNGE","Тольятти","70 лет Октября, 5а ст1","7 (8482) 95-95-45","https://vk.com/shisha_lounge_tlt","https://instagram.com/shisha_tlt","lon: 49.356284 lat: 53.538841"
"Fumo","Тольятти","Карла Маркса, 48","7 (8482) 39-40-63, 7 (8482) 62-02-20","https://vk.com/fumo063","https://instagram.com/fumo063","lon: 49.410252 lat: 53.514485"
"The Office Nargilia Lounge","Тольятти","Маршала Жукова, 2","7-987-977-50-80","https://vk.com/theofficetogliatti","https://instagram.com/smoke_depo","lon: 49.308124 lat: 53.516324"
"Мяtа","Тольятти","70 лет Октября, 48а","7 (8482) 61-96-61","https://vk.com/myatatlt","https://instagram.com/myata_lounge_shop_tlt","lon: 49.339096 lat: 53.542045"
"Expensive","Тольятти","Приморский бульвар, 45","7 (8482) 78-06-45","https://vk.com/expensive_tlt","https://instagram.com/expensive_tlt","lon: 49.264753 lat: 53.507202"
"OVERPACK","Тольятти","Комсомольская, 93","7-967-486-09-06, 7-996-743-69-04","https://vk.com/over63","https://instagram.com/over63","lon: 49.408481 lat: 53.515782"
"Шахта","Тольятти","Ворошилова, 12а","7-960-839-69-95","https://vk.com/shahta63","","lon: 49.312462 lat: 53.531319"
"Volgaloft","Сызрань","Советская, 76","7-917-013-65-75","https://vk.com/volgaloft","https://instagram.com/volgaloft","lon: 48.469363 lat: 53.153273"
"ЧИХ-ПЫХ","Тольятти","Тополиная, 9а","7 (8482) 787-303","https://vk.com/chihpuf","","lon: 49.347843 lat: 53.544129"
